key,forms,path
subanta:SamBu:pum:5:1,SamBoH,1.2.45 4.1.2 1.3.2 1.3.8 1.3.9 1.4.7 1.4.7 1.4.13 1.4.18 1.4.14 7.3.111 6.1.110 8.2.66 1.3.2 8.3.15 8.3.24 8.4.58 8.4.68
subanta:SamBu:pum:5:2,SamBuByAm,1.2.45 4.1.2 1.3.4 1.4.7 1.4.7 1.4.13 1.4.17 1.4.14 8.3.24 8.4.58 8.4.68
subanta:SamBu:pum:5:3,SamBuByaH,1.2.45 4.1.2 1.3.4 1.4.7 1.4.7 1.4.13 1.4.17 1.4.14 8.2.66 1.3.2 8.3.15 8.3.24 8.4.58 8.4.68
subanta:SamBu:pum:6:1,SamBoH,1.2.45 4.1.2 1.3.4 1.3.8 1.3.9 1.4.7 1.4.7 1.4.13 1.4.18 1.4.14 7.3.111 6.1.110 8.2.66 1.3.2 8.3.15 8.3.24 8.4.58 8.4.68
subanta:SamBu:pum:6:2,SamBvoH,1.2.45 4.1.2 1.3.4 1.4.7 1.4.7 1.4.13 1.4.18 1.4.14 6.1.77 8.2.66 1.3.2 8.3.15 8.3.24 8.4.58 8.4.68
subanta:SamBu:pum:6:3,SamBUnAm,1.2.45 4.1.2 1.3.4 1.4.7 1.4.7 7.1.54 1.3.2 1.3.3 1.3.9 1.4.13 1.4.17 1.4.14 6.4.3 8.3.24 8.4.58 8.4.68
subanta:SamBu:pum:7:1,SamBO,1.2.45 4.1.2 1.3.8 1.3.9 1.4.7 1.4.7 1.4.13 1.4.18 1.4.14 7.3.119 6.1.88 8.3.24 8.4.58 8.4.68
subanta:SamBu:pum:7:2,SamBvoH,1.2.45 4.1.2 1.3.4 1.4.7 1.4.7 1.4.13 1.4.18 1.4.14 6.1.77 8.2.66 1.3.2 8.3.15 8.3.24 8.4.58 8.4.68
subanta:SamBu:pum:7:3,SamBuzu,1.2.45 4.1.2 1.3.3 1.3.9 1.4.7 1.4.7 1.4.13 1.4.17 1.4.14 8.3.24 8.3.59 8.4.58 8.4.68
subanta:SamBu:pum:8:1,SamBo,1.2.45 4.1.2 1.3.2 1.3.9 1.4.7 2.3.48 2.3.49 1.1.43 1.4.7 2.3.48 2.3.49 1.1.43 1.4.13 1.4.14 7.3.108 6.1.69 8.3.24 8.4.58 8.4.68
subanta:SamBu:pum:8:2,SamBU,1.2.45 4.1.2 1.4.7 2.3.48 1.1.43 1.4.7 2.3.48 1.1.43 1.4.13 1.4.14 6.1.102 6.1.101 8.3.24 8.4.58 8.4.68
subanta:SamBu:pum:8:3,SamBavaH,1.2.45 4.1.2 1.3.4 1.3.7 1.3.9 1.4.7 2.3.48 1.1.43 1.4.7 2.3.48 1.1.43 1.4.13 1.4.14 7.3.109 6.1.78 8.2.66 1.3.2 8.3.15 8.3.24 8.4.58 8.4.68
subanta:guru:pum:1:1,guruH,1.2.45 4.1.2 1.3.2 1.3.9 1.4.7 1.1.43 1.4.7 1.1.43 1.4.13 1.4.14 8.2.66 1.3.2 8.3.15
subanta:guru:pum:1:2,gurU,1.2.45 4.1.2 1.4.7 1.1.43 1.4.7 1.1.43 1.4.13 1.4.14 6.1.102 6.1.101
subanta:guru:pum:1:3,guravaH,1.2.45 4.1.2 1.3.4 1.3.7 1.3.9 1.4.7 1.1.43 1.4.7 1.1.43 1.4.13 1.4.14 7.3.109 6.1.78 8.2.66 1.3.2 8.3.15 8.4.68
subanta:guru:pum:2:1,gurum,1.2.45 4.1.2 1.3.4 1.4.7 1.1.43 1.4.7 1.1.43 1.4.13 1.4.14 6.1.107
subanta:guru:pum:2:2,gurU,1.2.45 4.1.2 1.3.3 1.3.9 1.4.7 1.1.43 1.4.7 1.1.43 1.4.13 1.4.14 6.1.102 6.1.101
subanta:guru:pum:2:3,gurUn,1.2.45 4.1.2 1.3.4 1.3.8 1.3.9 1.4.7 1.4.7 1.4.13 1.4.18 1.4.14 6.1.102 6.1.103 6.1.101 8.4.37
subanta:guru:pum:3:1,guruRA,1.2.45 4.1.2 1.3.7 1.3.9 1.4.7 1.4.7 1.4.13 7.3.120 1.4.17 1.4.14 8.4.2
subanta:guru:pum:3:2,guruByAm,1.2.45 4.1.2 1.3.4 1.4.7 1.4.7 1.4.13 1.4.17 1.4.14
subanta:guru:pum:3:3,guruBiH,1.2.45 4.1.2 1.3.4 1.4.7 1.4.7 1.4.13 1.4.17 1.4.14 8.2.66 1.3.2 8.3.15
